Name (or Code);RIC;ISIN;CUSIP/CINS;SEDOL;Type of Equity;Currency;Exchange;Ex-Dividend Date;Country ofIssuer;Debt / Equity;TRBC Sector;Market Capitalisation(USD)
Mills Estruturas e Servicos de Engenharia SA;MILS3.SA;BRMILSACNOR2;P6799C108;B5LGRJ9;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;24-Jun-2014;Brazil;0,51;Industrial Equipment Rental;226.599.337
Brasilagro Companhia Brasileira de Propriedades Agricolas;AGRO3.SA;BRAGROACNOR7;P18023104;B1428Z9;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;08-Nov-2016;Brazil;0,24;Grain (Crop) Production;216.070.663
TPI Triunfo Participacoes e Investimentos SA;TPIS3.SA;BRTPISACNOR8;P92070104;B23FDJ5;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2016;Brazil;3,96;Highway Operators;210.266.730
Profarma Distribuidora de Produtos Farmaceuticos SA;PFRM3.SA;BRPFRMACNOR1;P7913E103;B1G92Q7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2014;Brazil;2,57;Drug Retailers (NEC);194.036.402
Kepler Weber SA;KEPL3.SA;BRKEPLACNOR1;P60653105;2490245;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;28-Apr-2016;Brazil;0,63;Agricultural Machinery;191.971.064
Brasil Pharma SA;BPHA3.SA;BRBPHAACNOR6;P1815Q108;B3Q1YB6;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2012;Brazil;3,79;Retail - Drugs without Grocery;181.695.597
Ferrovia Centro Atlantica SA;VSPT3.SA;BRVSPTACNOR1;P9806S108;2939801;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;0,16;Railway Freight Operators;176.159.767
Springs Global Participacoes SA;SGPS3.SA;BRSGPSACNOR4;P8739A101;B23F629;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;03-May-2010;Brazil;1,57;Textiles & Leather Goods (NEC);168.024.277
Grazziotin SA;CGRA4.SA;BRCGRAACNPR9;P4916J114;B010TY5;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;26-Dec-2016;Brazil;0,40;General Department Stores;163.557.528
Paranapanema SA;PMAM3.SA;BRPMAMACNOR3;P7579L102;B092PF6;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2016;Brazil;12,79;Copper Ore Mining;159.053.195
Sao Paulo Turismo SA;AHEB3.SA;BRAHEBACNOR0;P0355U107;2044255;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;3,94;Theatres & Performing Arts;150.320.670
Companhia de Participacoes Alianca da Bahia;PEAB4.SA;BRPEABACNPR0;P3055D102;2635347;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;0,26;Industrial Conglomerates;139.565.389
Celulose Irani SA;RANI3.SA;BRRANIACNOR5;P22051109;B0765M7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;09-Mar-2017;Brazil;2,77;Paper Mills & Products;136.827.715
T4F Entretenimento SA;SHOW3.SA;BRSHOWACNOR7;P9T44H103;B5N8KL6;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;27-Apr-2017;Brazil;0,88;Theatres & Performing Arts;134.764.145
Cristal Pigmentos do Brasil SA;CRPG5.SA;BRCRPGACNPA3;P3R81G120;BYNQSR5;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;01-Jun-2017;Brazil;0,53;Coloring Agents;131.679.019
Dohler SA;DOHL3.SA;BRDOHLACNOR2;P3575C105;2272313;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;18-Dec-2015;Brazil;0,26;Textiles & Leather Goods (NEC);123.102.452
Technos SA;TECN3.SA;BRTECNACNOR6;P90188106;B3ZQXN7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;23-Dec-2016;Brazil;0,60;Apparel & Accessories (NEC);105.076.198
Industrias Romi SA;ROMI3.SA;BRROMIACNOR8;P5603Z105;B07C730;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;23-Mar-2016;Brazil;0,80;Machine Tools;104.411.360
Terra Santa Agro SA;TESA3.SA;BRTESAACNOR9;P3773U139;BD0NBG2;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;1,15;Fishing & Farming (NEC);103.576.277
Eucatex SA Industria e Comercio;EUCA4.SA;BREUCAACNPR8;P5371Z105;2317797;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;26-Apr-2017;Brazil;0,68;Grain (Crop) Production;96.982.739
Cremer SA;CREM3.SA;BRCREMACNOR2;P3284T100;2232867;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;09-May-2017;Brazil;3,17;Industrial Machinery;94.373.576
Josapar Joaquim Oliveira SA Particip;JOPA4.SA;BRJOPAACNPR2;P6031C106;2474744;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;28-Apr-2017;Brazil;2,29;Ready-Made Meals;79.293.087
Metalfrio Solutions SA;FRIO3.SA;BRFRIOACNOR2;P6636G106;B1VSJ13;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;29-Jun-2011;Brazil;11,73;"Heating, Ventilation & Air Conditioning
System...";73.565.378
Companhia Melhoramentos de Sao Paulo;MSPA3.SA;BRMSPAACNOR0;P69863101;2196736;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;15-May-2017;Brazil;0,82;Sanitary Products;73.259.933
Eternit SA;ETER3.SA;BRETERACNOR3;P3766A108;B01GYT3;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;17-Dec-2015;Brazil;0,83;Construction Materials (NEC);73.189.586
Schulz SA;SHUL4.SA;BRSHULACNPR4;P6540M116;B1WL029;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;03-May-2017;Brazil;1,05;Industrial Machinery & Equipment (NEC);72.388.510
Rodobens Negocios Imobiliarios SA;RDNI3.SA;BRRDNIACNOR9;P81424106;B1MJRR7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;27-Apr-2016;Brazil;1,12;Residential Builders - Single Homes;71.446.643
Trisul SA;TRIS3.SA;BRTRISACNOR4;P94073106;B28M799;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;28-Apr-2017;Brazil;0,69;Residential Builders - Multifamily Homes;66.045.780
Panatlantica SA;PATI4.SA;BRPATIACNPR3;P74891113;B0G4005;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;27-Apr-2017;Brazil;1,27;Metallic Rolling & Drawing Products;63.581.595
Battistella Administracao e Participacoes SA;BTTL4.SA;BRBTTLACNPR7;P1620L112;2083753;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2008;Brazil;1,11;Heavy Trucks;62.672.060
Pettenati SA Industria Textil;PTNT3.SA;BRPTNTACNOR6;P7867L103;2682213;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;04-Nov-2016;Brazil;1,82;Textiles & Leather Goods (NEC);62.466.969
WLM Industria e Comercio SA;WLMM4.SA;BRWLMMACNPR3;P9881V133;BZBYD06;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2016;Brazil;0,23;Heavy Machinery & Vehicles Wholesale;61.559.668
Nadir Figueiredo Ind e Com SA;NAFG4.SA;BRNAFGACNPR1;P7068T111;2618412;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;21-Jun-2017;Brazil;1,03;Tools & Housewares;61.123.369
Elekeiroz SA;ELEK3.SA;BRELEKACNOR5;P3641T108;2194945;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;26-Dec-2013;Brazil;2,90;Commodity Chemicals (NEC);57.261.563
Fertilizantes Heringer SA;FHER3.SA;BRFHERACNOR5;P40228101;B1VQDQ0;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;04-Mar-2008;Brazil;8,87;Fertilizers;55.913.168
Bicicletas Monark SA;BMKS3.SA;BRBMKSACNOR9;P1R67M103;2095479;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;0,15;Bicycle Manufacturing;49.970.931
Companhia de Tecidos Norte de Minas COTEMINAS;CTNM4.SA;BRCTNMACNPR6;P3164Y104;2229212;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2011;Brazil;2,81;Textiles & Leather Goods (NEC);48.426.286
Saraiva SA Livreiros Editores;SLED4.SA;BRSLEDACNPR7;P8515A192;2965141;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;1,71;Book Publishing;43.486.875
METISA Metalurgica Timboense SA;MTSA4.SA;BRMTSAACNPR9;P6543P116;B1W6CF1;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;29-Nov-2016;Brazil;0,50;Heavy Machinery & Vehicles (NEC);43.073.890
Unicasa Industria de Moveis SA;UCAS3.SA;BRUCASACNOR1;P9449Z105;B4P6HK9;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;14-Dec-2015;Brazil;0,34;Home Furnishings (NEC);41.587.649
Companhia Tecidos Santanense;CTSA3.SA;BRCTSAACNOR3;P2603M119;2200615;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;04-May-2015;Brazil;0,76;Industrial Clothing & Uniforms;28.867.348
Log-in Logistica Intermodal SA;LOGN3.SA;BRLOGNACNOR3;P6401A102;B1Y4WH5;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;18-Mar-2009;Brazil;8,78;Marine Freight & Logistics (NEC);28.725.300
GPC Participacoes SA em Recuperacao Judicial;GPCP3.SA;BRGPCPACNOR4;P4896V103;2129282;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;01-Jul-2005;Brazil;36,94;Commodity Chemicals (NEC);23.489.785
"Empresa Nacional de Comercio Redito e Participacoes SA
Encorpar";ECPR3.SA;BRECPRACNOR5;P3711T103;2117566;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;17-Jul-2014;Brazil;2,32;Distilleries;20.985.918
Bardella SA Industrias Mecanicas;BDLL4.SA;BRBDLLACNPR8;P1615M117;2081672;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;04-May-2015;Brazil;1,82;Heavy Machinery & Vehicles (NEC);20.674.736
Sondotecnica Engenharia Solos SA;SOND5.SA;BRSONDACNPA8;P87265115;B1WRT64;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;04-May-2015;Brazil;0,44;Business Support Services (NEC);17.863.810
Contax Participacoes SA;CTAX3.SA;BRCTAXACNOR3;P3144E103;2817219;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;08-Dec-2014;Brazil;166,00;Call Center Services;16.938.795
Companhia de Fiacao e Tecidos Cedro Cachoeira;CEDO3.SA;BRCEDOACNOR8;P2578S109;2181743;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;24-Mar-2014;Brazil;7,64;Textiles & Leather Goods (NEC);16.684.190
Rio Novo Gold Inc;RN.TO;VGG757001075;G75700107;B652FL8;"Fully Paid Ordinary
Shares";Canadian Dollar;The Toronto Stock Exchange;;Brazil;0,21;Diversified Mining;16.250.365
Electro Aco Altona SA;EALT4.SA;BREALTACNPR1;P3631H114;2309299;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;08-Aug-2016;Brazil;2,53;Iron, Steel Mills & Foundries;15.343.794
Azevedo & Travassos SA;AZEV4.SA;BRAZEVACNPR7;P0608H119;B08ZWK0;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;14-Dec-2015;Brazil;26,16;Construction & Engineering (NEC);14.029.707
Tekno SA;TKNO4.SA;BRTKNOACNPR5;P90246110;B1YH122;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;29-Apr-2015;Brazil;0,17;Paints & Coatings;13.909.180
Siderurgica JL Aliperti SA;APTI3.SA;BRAPTIACNOR6;P8657M103;2806778;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2016;Brazil;0,53;Iron & Steel (NEC);12.619.070
Excelsior Alimentos SA;BAUH4.SA;BRBAUHACNPR3;P16216114;2084411;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;24-Apr-2017;Brazil;1,04;Meat Processing;9.863.858
Lupatech SA;LUPA3.SA;BRLUPAACNOR8;P64028114;B14TFV5;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;10-Apr-2007;Brazil;11,61;Industrial Valve Manufacturing;9.422.341
Springer SA;SPRI3.SA;BRSPRIACNOR2;P8738P109;2834382;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;30-Apr-2013;Brazil;0,13;"Heating, Ventilation & Air Conditioning
System...";8.363.232
Trevisa Investimentos SA;LUXM3.SA;BRLUXMACNOR7;P9368Y105;B08BYT1;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;0,89;Inland Water Freight;8.287.183
Dtcom Direct to Company SA;DTCY3.SA;BRDTCYACNOR5;P35886103;2964308;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;8,61;Business Support Services (NEC);7.993.981
Construtora Lix da Cunha SA;LIXC3.SA;BRLIXCACNOR3;P3089Q103;2220710;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;12-May-2009;Brazil;15,12;Construction & Engineering (NEC);5.514.107
Metalgrafica Iguacu SA;MTIG4.SA;BRMTIGACNPR7;P6527T118;2583082;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;03-Jan-2012;Brazil;2,84;Metal Containers & Packaging;5.507.109
Tecnosolo Engenharia SA;TCNO3.SA;BRTCNOACNOR5;P90148100;2236621;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;06-May-2015;Brazil;13,42;Construction & Engineering (NEC);4.232.867
Suzano Holding SA;NEMO5.SA;BRNEMOACNPA9;P8820T100;2629629;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;5,57;Paper Products (NEC);--
Unidas SA;UNID3.SA;BRUNIDACNOR3;P94859108;BD83SQ3;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;1,80;Passenger Car Rental;--
Companhia Industrial Cataguases;CATA3.SA;BRCATAACNOR1;P25858104;2155124;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-Jan-2017;Brazil;0,81;Natural Fabrics;--
Pratica Participacoes SA;PRCA3.SA;BRPRCAACNOR3;P7S0DE103;BYNZS16;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;1,02;Industrial Machinery;--
Forno de Minas Alimentos SA;FOMS3.SA;BRFOMSACNOR2;P4368V102;BZ77HH4;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;1,57;Food Processing (NEC);--
Polpar SA;PPAR3.SA;BRPPARACNOR5;P7905X101;B1YB2S7;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;0,27;Paper Products (NEC);--
Minasmaquinas SA;MMAQ3.SA;BRMMAQACNOR1;P6665L109;2593531;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;08-Mar-2017;Brazil;0,39;New Car Dealers;--
Cinesystem SA;CNSY3.SA;BRCNSYACNOR6;P2R63D105;BD8D904;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;2,55;Movie Theaters & Movie Products;--
Sauipe SA;PSEG3.SA;BRPSEGACNOR4;P85228115;2140584;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;0,27;Hotels, Motels & Cruise Lines (NEC);--
Conservas Oderich SA;ODER3.SA;BRODERACNOR6;P3075N106;2155168;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;1,67;Food Processing (NEC);--
CTC Centro de Tecnologia Canavieira SA;CTCA3.SA;BRCTCAACNOR7;P3R05Y108;BDCX1B5;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;;Brazil;0,50;Agricultural Biotechnology;--
;;;;;;;;;;;;
Litel Participacoes SA;LTEL5B.SO;BRLTELACNPA4;P6297H179;2662668;Preference Shares;Brazilian Real;Sociedade Operadora do Mercado de Ativos;08-May-2017;Brazil;0,19;Iron & Steel (NEC);--
Grucai Participacoes SA;GRUC3.SA;BRGRUCACNOR0;P4915U102;2364083;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;17-Feb-2010;Brazil;0,71;Ground Freight & Logistics (NEC);--
;;;;;;;;;;;;
